t_ms,ax,ay,az,steps
11431,-129,-14,-1009,0
11472,-127,-14,-1008,0
11513,-127,-13,-1009,0
11556,-129,-14,-1009,0
11597,-127,-14,-1009,0
11638,-128,-13,-1009,0
11679,-128,-15,-1009,0
11720,-127,-14,-1009,0
11762,-128,-14,-1010,0
11803,-128,-13,-1009,0
11844,-126,-14,-1011,0
11885,-127,-13,-1009,0
11926,-126,-14,-1009,0
11967,-128,-15,-1009,0
12012,-128,-14,-1009,0
12053,-127,-14,-1010,0
12094,-127,-14,-1009,0
12135,-128,-13,-1010,0
12176,-128,-15,-1010,0
12218,-127,-14,-1010,0
12259,-127,-16,-1008,0
12300,-127,-15,-1010,0
12341,-129,-14,-1010,0
12382,-127,-15,-1011,0
12423,-127,-15,-1009,0
12468,-128,-14,-1007,0
12509,-128,-15,-1011,0
12550,-128,-14,-1009,0
12591,-127,-14,-1008,0
12632,-128,-15,-1011,0
12677,-128,-14,-1009,0
12718,-127,-14,-1010,0
12759,-128,-15,-1009,0
12800,-128,-14,-1009,0
12841,-127,-14,-1009,0
12883,-128,-15,-1009,0
12924,-128,-15,-1010,0
12965,-127,-14,-1009,0
13009,-129,-13,-1010,0
13050,-129,-15,-1009,0
13091,-127,-14,-1008,0
13136,-129,-14,-1009,0
13177,-127,-14,-1010,0
13218,-127,-15,-1007,0
13259,-129,-15,-1010,0
13300,-128,-15,-1010,0
13345,-128,-15,-1009,0
13386,-129,-15,-1010,0
13428,-127,-14,-1010,0
13469,-128,-14,-1009,0
13510,-127,-15,-1009,0
13552,-128,-10,-1009,0
13593,-128,-15,-1008,0
13634,-125,-13,-1010,0
13675,-129,-14,-1009,0
13716,-128,-14,-1010,0
13757,-127,-14,-1009,0
13802,-128,-14,-1009,0
13845,-128,-14,-1010,0
13886,-127,-14,-1010,0
13927,-128,-14,-1009,0
13968,-128,-15,-1008,0
14010,-128,-14,-1010,0
14051,-127,-15,-1009,0
14092,-128,-15,-1010,0
14133,-129,-15,-1010,0
14174,-127,-15,-1010,0
14219,-127,-14,-1009,0
14262,-128,-14,-1010,0
14303,-128,-15,-1010,0
14344,-128,-13,-1009,0
14385,-128,-14,-1009,0
14427,-127,-14,-1010,0
14468,-128,-14,-1008,0
14509,-128,-14,-1009,0
14550,-128,-14,-1010,0
14591,-128,-15,-1010,0
14633,-128,-14,-1010,0
14674,-127,-15,-1009,0
14715,-128,-14,-1010,0
14756,-128,-15,-1008,0
14797,-127,-14,-1010,0
14842,-128,-14,-1009,0
14885,-127,-13,-1010,0
14926,-129,-15,-1008,0
14967,-128,-14,-1010,0
15008,-128,-14,-1010,0
15054,-128,-14,-1011,0
15097,-128,-15,-1010,0
15138,-129,-14,-1010,0
15179,-128,-15,-1009,0
15220,-128,-14,-1009,0
15262,-128,-14,-1009,0
15303,-127,-15,-1009,0
15344,-128,-14,-1009,0
15385,-128,-14,-1009,0
15426,-128,-13,-1009,0
15468,-127,-14,-1009,0
15509,-128,-15,-1009,0
15550,-128,-15,-1009,0
15591,-128,-14,-1009,0
15632,-128,-14,-1009,0
15674,-127,-15,-1009,0
15715,-127,-15,-1009,0
15756,-128,-14,-1010,0
15797,-128,-14,-1010,0
15838,-128,-15,-1009,0
15880,-128,-15,-1010,0
15922,-128,-14,-1010,0
15963,-127,-15,-1010,0
16004,-128,-15,-1009,0
16045,-128,-13,-1009,0
16087,-128,-14,-1009,0
16129,-127,-15,-1009,0
16170,-128,-15,-1010,0
16211,-127,-15,-1010,0
16252,-127,-15,-1009,0
16294,-127,-14,-1010,0
16336,-129,-15,-1009,0
16377,-127,-15,-1010,0
16418,-128,-14,-1009,0
16459,-128,-14,-1010,0
16500,-128,-14,-1009,0
16542,-128,-14,-1011,0
16583,-128,-14,-1010,0
16624,-128,-15,-1009,0
16665,-129,-14,-1010,0
16706,-127,-15,-1010,0
16748,-127,-15,-1008,0
16789,-128,-15,-1010,0
16830,-127,-14,-1008,0
16871,-129,-15,-1009,0
16912,-128,-15,-1010,0
16954,-127,-15,-1009,0
16995,-128,-14,-1010,0
17036,-128,-15,-1010,0
17077,-127,-15,-1009,0
17119,-128,-15,-1009,0
17160,-128,-14,-1009,0
17201,-128,-15,-1009,0
17242,-129,-15,-1011,0
17283,-129,-14,-1009,0
17324,-128,-14,-1010,0
17366,-129,-14,-1009,0
17407,-127,-15,-1010,0
17448,-127,-15,-1010,0
17489,-127,-14,-1009,0
17530,-127,-15,-1009,0
17572,-127,-14,-1010,0
17613,-128,-14,-1010,0
17654,-126,-15,-1009,0
17695,-128,-14,-1011,0
17736,-128,-14,-1010,0
17778,-128,-15,-1009,0
17819,-128,-15,-1010,0
17860,-128,-15,-1009,0
17901,-128,-14,-1009,0
17942,-129,-15,-1008,0
17984,-127,-14,-1009,0
18025,-128,-15,-1010,0
18066,-128,-15,-1009,0
18107,-127,-15,-1009,0
18148,-128,-15,-1011,0
18196,-128,-14,-1010,0
18237,-127,-14,-1009,0
18278,-127,-13,-1010,0
18319,-127,-14,-1009,0
18361,-128,-15,-1011,0
18402,-128,-14,-1010,0
18443,-128,-13,-1009,0
18484,-128,-14,-1010,0
18525,-127,-14,-1009,0
18567,-128,-15,-1009,0
18608,-128,-14,-1010,0
18649,-128,-14,-1009,0
18690,-129,-13,-1010,0
18731,-128,-15,-1009,0
18773,-127,-14,-1010,0
18814,-129,-15,-1010,0
18855,-128,-14,-1009,0
18896,-127,-15,-1009,0
18937,-129,-15,-1010,0
18978,-128,-13,-1009,0
19023,-127,-14,-1010,0
19064,-128,-14,-1009,0
19105,-128,-14,-1009,0
19146,-127,-15,-1009,0
19187,-129,-15,-1010,0
19232,-130,-10,-1010,0
19273,-124,-16,-1009,0
19314,-125,-17,-1008,0
19355,-130,-18,-1015,0
19396,-127,-16,-1006,0
19438,-125,-15,-1010,0
19479,-132,-11,-1010,0
19520,-126,-13,-1008,0
19561,-125,-14,-1005,0
19602,-132,-15,-1009,0
19643,-125,-13,-1005,0
19684,-128,-13,-1012,0
19725,-130,-13,-1011,0
19766,-125,-5,-1003,0
19807,-133,-22,-1023,0
19848,-123,-12,-998,0
19889,-130,-17,-1014,0
19930,-131,-16,-1016,0
19971,-127,-14,-1007,0
20012,-129,-18,-1013,0
20053,-122,-13,-1006,0
20095,-133,-15,-1011,0
20136,-129,-12,-1010,0
20177,-127,-15,-1010,0
20218,-134,-13,-1011,0
20259,-124,-13,-1009,0
20300,-127,-16,-1009,0
20341,-131,-11,-1010,0
20382,-127,-15,-1008,0
20423,-127,-15,-1009,0
20464,-132,-11,-1012,0
20509,-126,-16,-1007,0
20550,-126,-14,-1008,0
20591,-132,-15,-1013,0
20632,-127,-15,-1009,0
20673,-124,-14,-1007,0
20714,-135,-14,-1008,0
20755,-128,-12,-1011,0
20796,-126,-18,-1009,0
20837,-125,-14,-1010,0
20878,-133,-16,-1011,0
20919,-127,-13,-1009,0
20960,-126,-16,-1008,0
21001,-130,-13,-1011,0
21042,-126,-15,-1009,0
21083,-129,-14,-1010,0
21128,-130,-12,-1011,0
21169,-126,-16,-1009,0
21210,-128,-14,-1010,0
21251,-130,-15,-1011,0
21292,-125,-15,-1009,0
21334,-128,-14,-1004,0
21375,49,-231,-1305,0
21416,-128,-111,-1044,1
21458,67,-249,-980,1
21499,-91,-22,-981,1
21541,-46,-203,-955,1
21582,-188,139,-1029,1
21623,-147,109,-994,1
21664,-55,-34,-1015,1
21705,-79,-44,-1012,1
21749,-61,-93,-1001,1
21790,-68,-65,-1025,1
21831,-82,-15,-1074,1
21872,-81,-34,-1011,1
21913,-74,-22,-1012,1
21955,-75,-2,-1033,1
21996,-72,-9,-1014,1
22037,-70,-4,-1017,1
22079,-72,-2,-1018,1
22120,-72,-5,-1014,1
22161,-68,-3,-1016,1
22202,-72,-2,-1016,1
22243,-69,-3,-1016,1
22285,-70,-2,-1016,1
22327,-71,0,-1016,1
22368,-73,2,-1028,1
22410,-77,-32,-984,1
22451,-79,-27,-1008,1
22492,-74,-20,-1016,1
22534,-80,-18,-1014,1
22575,-77,-26,-1011,1
22617,-73,-20,-1009,1
22658,-152,3,-1039,1
22699,-79,0,-1017,1
22740,-70,-18,-1015,1
22781,-64,-23,-1018,1
22822,-83,-4,-1015,1
22864,-71,0,-1016,1
22905,-81,0,-1016,1
22946,-78,-2,-1014,1
22987,-80,2,-1017,1
23028,-79,1,-1015,1
23070,-78,-2,-1013,1
23112,-80,5,-1018,1
23154,-76,3,-1016,1
23195,-79,-2,-1013,1
23237,-79,1,-1014,1
23278,-78,5,-1017,1
23320,-78,0,-1015,1
23365,-78,1,-1016,1
23406,-78,1,-1015,1
23447,-77,1,-1017,1
23488,-79,2,-1015,1
23529,-79,0,-1015,1
23570,-78,2,-1016,1
23611,-78,0,-1015,1
23652,-78,1,-1016,1
23693,-78,1,-1015,1
23734,-73,4,-1018,1
23776,-77,0,-1015,1
23817,-79,2,-1018,1
23859,-79,0,-1014,1
23901,-78,2,-1016,1
23943,-78,1,-1017,1
23984,-79,2,-1017,1
24025,-78,1,-1016,1
24066,-78,1,-1017,1
24107,-79,2,-1016,1
24148,-79,0,-1016,1
24189,-78,0,-1015,1
24230,-79,1,-1016,1
24271,-78,-1,-1015,1
24312,-78,0,-1017,1
24353,-80,0,-1015,1
24394,-78,0,-1015,1
24435,-81,0,-1014,1
24476,-80,0,-1016,1
24517,-82,0,-1015,1
24558,-59,-90,-1027,1
24599,-86,20,-1016,1
24640,-67,-18,-1017,1
24681,-81,1,-1017,1
24722,-81,1,-1016,1
24763,-73,4,-1016,1
24804,-84,0,-1018,1
24845,-80,-5,-1018,1
24886,-76,-7,-1013,1
24927,-115,24,-1015,1
24968,-83,-16,-1012,1
25009,-77,-15,-1014,1
25050,-87,-5,-1018,1
25091,-74,1,-1020,1
25132,-78,0,-1019,1
25173,-80,1,-1017,1
25215,-77,-2,-1014,1
25256,-79,-2,-1015,1
25297,-78,-4,-1014,1
25338,-78,0,-1016,1
25379,-81,6,-1016,1
25420,-78,-2,-1015,1
25461,-79,1,-1017,1
25502,-78,0,-1015,1
25543,-80,-1,-1015,1
25584,-78,0,-1015,1
25625,-79,0,-1015,1
25666,-78,-2,-1016,1
25707,-79,-1,-1015,1
25748,-80,-1,-1017,1
25789,-78,0,-1015,1
25830,-78,-1,-1016,1
25871,-78,0,-1018,1
25912,-83,-2,-1015,1
25953,-84,-7,-1017,1
25994,-83,-8,-1015,1
26035,-73,-2,-1016,1
26076,-73,15,-1018,1
26117,-78,11,-1015,1
26158,-64,11,-1016,1
26199,-68,-44,-1017,1
26240,-65,-29,-1017,1
26281,-96,19,-1015,1
26323,-107,-10,-1015,1
26364,-67,-18,-1015,1
26405,-65,-17,-1016,1
26447,-68,-16,-1017,1
26488,-64,-18,-1014,1
26530,-64,-15,-1017,1
26571,-64,-16,-1016,1
26612,-64,-17,-1015,1
26653,-68,-14,-1018,1
26694,-66,-16,-1016,1
26736,-64,-17,-1017,1
26777,-67,-14,-1017,1
26818,-65,-17,-1016,1
26859,-64,-17,-1016,1
26900,-67,-14,-1018,1
26941,-64,-16,-1017,1
26982,-65,-16,-1015,1
27023,-67,-15,-1016,1
27064,-65,-17,-1017,1
27105,-64,-16,-1016,1
27147,-65,-15,-1017,1
27188,-64,-17,-1016,1
27229,-65,-15,-1017,1
27270,-64,-16,-1016,1
27311,-64,-16,-1017,1
27353,-64,-16,-1017,1
27394,-65,-15,-1017,1
27435,-67,-16,-1018,1
27476,-65,-15,-1017,1
27517,-64,-15,-1016,1
27559,-65,-15,-1017,1
27600,-67,-16,-1017,1
27641,-64,-17,-1016,1
27682,-65,-16,-1016,1
27723,-64,-16,-1016,1
27764,-66,-16,-1016,1
27805,-64,-14,-1018,1
27846,-64,-18,-1015,1
27887,-64,-17,-1016,1
27928,-71,-15,-1016,1
27969,-64,-14,-1018,1
28010,-67,-16,-1017,1
28051,-71,-15,-1017,1
28092,-64,-16,-1016,1
28133,-66,-17,-1016,1
28174,-65,-15,-1017,1
28215,-65,-15,-1017,1
28256,-66,-17,-1016,1
28297,-65,-17,-1016,1
28338,-66,-16,-1016,1
28379,-64,-17,-1016,1
28420,-65,-15,-1017,1
28462,-66,-16,-1015,1
28506,-69,-16,-1016,1
28547,-66,-17,-1016,1
28588,-64,-16,-1015,1
28629,-71,-13,-1019,1
28670,-64,-17,-1015,1
28711,-64,-17,-1016,1
28752,-66,-14,-1018,1
28793,-65,-17,-1017,1
28834,-65,-15,-1016,1
28875,-67,-15,-1017,1
28916,-64,-17,-1015,1
28957,-65,-16,-1017,1
28998,-67,-16,-1017,1
29039,-64,-16,-1016,1
29080,-64,-17,-1017,1
29122,-64,-15,-1017,1
29163,-64,-17,-1016,1
29204,-64,-16,-1016,1
29245,-71,-17,-1016,1
29286,-64,-16,-1017,1
29327,-65,-15,-1016,1
29368,-64,-17,-1016,1
29409,-65,-15,-1015,1
29451,-67,-14,-1018,1
29492,-65,-17,-1015,1
29533,-66,-15,-1015,1
29574,-66,-15,-1018,1
29615,-64,-18,-1014,1
29657,-66,-15,-1018,1
29698,-68,-15,-1018,1
29739,-64,-17,-1015,1
29780,-66,-16,-1016,1
29821,-65,-16,-1016,1
29863,-64,-17,-1015,1
29904,-71,-14,-1018,1
29945,-64,-16,-1016,1
29986,-64,-18,-1015,1
30027,-71,-12,-1020,1
