t_ms,ax,ay,az,steps
6101,-16,-22,-1020,0
6143,-17,-22,-1020,0
6184,-15,-22,-1021,0
6225,-16,-22,-1020,0
6266,-17,-21,-1020,0
6307,-16,-21,-1022,0
6348,-17,-20,-1020,0
6389,-17,-21,-1020,0
6430,-15,-22,-1020,0
6471,-17,-22,-1020,0
6512,-16,-21,-1020,0
6553,-16,-20,-1020,0
6594,-16,-21,-1020,0
6635,-16,-22,-1021,0
6676,-16,-22,-1020,0
6717,-16,-21,-1019,0
6759,-16,-22,-1021,0
6800,-17,-21,-1020,0
6841,-15,-21,-1020,0
6882,-15,-22,-1019,0
6923,-16,-21,-1020,0
6964,-15,-22,-1020,0
7005,-16,-22,-1020,0
7046,-16,-21,-1020,0
7087,-15,-23,-1021,0
7128,-15,-21,-1019,0
7169,-15,-21,-1020,0
7210,-16,-21,-1020,0
7251,-16,-22,-1020,0
7292,-16,-22,-1020,0
7333,-15,-22,-1021,0
7374,-16,-22,-1020,0
7415,-16,-22,-1020,0
7456,-15,-22,-1020,0
7497,-16,-22,-1021,0
7538,-15,-22,-1020,0
7579,-15,-22,-1020,0
7620,-17,-21,-1019,0
7661,-15,-22,-1020,0
7702,-16,-22,-1020,0
7743,-15,-21,-1020,0
7787,-16,-22,-1020,0
7828,-16,-22,-1020,0
7869,-15,-22,-1020,0
7910,-16,-22,-1020,0
7951,-17,-21,-1019,0
7992,-16,-23,-1021,0
8033,-15,-22,-1021,0
8074,-16,-22,-1020,0
8115,-15,-21,-1020,0
8156,-15,-23,-1020,0
8197,-15,-21,-1019,0
8238,-16,-22,-1021,0
8279,-16,-22,-1020,0
8320,-16,-21,-1020,0
8362,-15,-22,-1020,0
8403,-16,-22,-1019,0
8444,-15,-22,-1020,0
8485,-16,-21,-1019,0
8526,-15,-21,-1021,0
8568,-16,-21,-1020,0
8609,-15,-21,-1021,0
8650,-16,-21,-1020,0
8691,-16,-22,-1020,0
8732,-16,-21,-1020,0
8773,-16,-21,-1020,0
8815,-16,-22,-1020,0
8856,-15,-22,-1020,0
8897,-16,-22,-1021,0
8938,-16,-21,-1020,0
8980,-17,-22,-1020,0
9021,-17,-22,-1020,0
9062,-16,-20,-1020,0
9103,-16,-22,-1020,0
9144,-15,-22,-1020,0
9186,-16,-22,-1020,0
9227,-17,-21,-1020,0
9268,-15,-22,-1020,0
9309,-15,-22,-1020,0
9350,-16,-22,-1018,0
9392,-15,-22,-1020,0
9434,-16,-21,-1020,0
9475,-15,-21,-1021,0
9516,-15,-21,-1020,0
9557,-16,-21,-1020,0
9598,-15,-21,-1020,0
9639,-16,-21,-1020,0
9680,-15,-21,-1020,0
9721,-15,-22,-1021,0
9762,-16,-22,-1021,0
9803,-16,-22,-1021,0
9844,-16,-21,-1020,0
9885,-16,-22,-1020,0
9926,-15,-20,-1020,0
9967,-15,-21,-1020,0
10008,-16,-21,-1020,0
10049,-16,-21,-1020,0
10090,-15,-22,-1020,0
10131,-17,-21,-1021,0
10172,-15,-22,-1021,0
10213,-16,-21,-1020,0
10254,-15,-22,-1020,0
10295,-15,-21,-1020,0
10336,-16,-22,-1020,0
10377,-16,-21,-1020,0
10418,-16,-21,-1020,0
10461,-15,-21,-1019,0
10502,-15,-21,-1021,0
10543,-15,-21,-1020,0
10584,-16,-22,-1021,0
10625,-15,-21,-1020,0
10669,-17,-22,-1020,0
10710,-15,-22,-1020,0
10751,-16,-21,-1021,0
10792,-16,-22,-1020,0
10833,-16,-22,-1020,0
10877,-16,-22,-1020,0
10918,-16,-22,-1020,0
10959,-15,-22,-1021,0
11000,-17,-22,-1021,0
11041,-15,-22,-1020,0
11083,-16,-22,-1020,0
11124,-15,-20,-1020,0
11165,-16,-22,-1020,0
11206,-16,-22,-1019,0
11247,-15,-21,-1020,0
11290,-15,-23,-1021,0
11331,-16,-21,-1019,0
11372,-15,-23,-1020,0
11413,-16,-22,-1021,0
11454,-16,-22,-1020,0
11496,-15,-22,-1020,0
11537,-15,-21,-1020,0
11578,-16,-21,-1022,0
11619,-15,-21,-1020,0
11660,-16,-22,-1020,0
11702,-17,-22,-1020,0
11743,-15,-22,-1020,0
11784,-15,-20,-1019,0
11825,-16,-22,-1020,0
11866,-16,-22,-1020,0
11907,-15,-23,-1020,0
11949,-16,-23,-1020,0
11990,-16,-21,-1020,0
12031,-15,-22,-1021,0
12072,-17,-21,-1019,0
12114,-17,-21,-1021,0
12155,-15,-21,-1020,0
12196,-16,-21,-1020,0
12237,-17,-21,-1020,0
12278,-16,-22,-1021,0
12320,-16,-23,-1021,0
12361,-15,-22,-1020,0
12402,-15,-22,-1020,0
12443,-15,-21,-1021,0
12484,-17,-23,-1020,0
12525,-17,-22,-1020,0
12566,-15,-22,-1020,0
12607,-16,-22,-1020,0
12648,-16,-22,-1021,0
12689,-16,-20,-1020,0
12730,-16,-22,-1019,0
12771,-17,-23,-1020,0
12812,-16,-23,-1020,0
12853,-15,-23,-1020,0
12894,-16,-21,-1021,0
12939,-15,-22,-1020,0
12980,-15,-21,-1020,0
13021,-16,-22,-1020,0
13062,-15,-22,-1020,0
13103,-16,-21,-1020,0
13144,-17,-21,-1020,0
13185,-16,-22,-1020,0
13226,-17,-22,-1020,0
13267,-15,-22,-1021,0
13308,-16,-23,-1021,0
13349,-16,-22,-1020,0
13390,-16,-20,-1020,0
13431,-15,-22,-1019,0
13472,-16,-22,-1020,0
13513,-16,-23,-1020,0
13554,-15,-22,-1021,0
13595,-17,-22,-1020,0
13636,-15,-22,-1020,0
13677,-16,-22,-1020,0
13718,-16,-23,-1020,0
13760,-16,-22,-1020,0
13801,-16,-22,-1020,0
13842,-15,-21,-1021,0
13883,-16,-21,-1020,0
13924,-15,-23,-1020,0
13965,-15,-22,-1019,0
14006,-16,-22,-1020,0
14047,-17,-21,-1021,0
14088,-16,-23,-1021,0
14129,-16,-21,-1021,0
14170,-16,-22,-1021,0
14211,-16,-22,-1020,0
14252,-16,-21,-1021,0
14293,-16,-20,-1020,0
14334,-16,-21,-1019,0
14375,-16,-22,-1020,0
14416,-16,-22,-1020,0
14457,-16,-21,-1020,0
14498,-17,-22,-1020,0
14539,-15,-21,-1020,0
14580,-15,-22,-1020,0
14622,-17,-21,-1020,0
14663,-15,-21,-1020,0
14704,-15,-22,-1021,0
14745,-16,-21,-1021,0
14786,-16,-22,-1020,0
14829,-15,-22,-1020,0
14870,-16,-22,-1020,0
14911,-15,-22,-1020,0
14952,-16,-22,-1020,0
14993,-16,-21,-1020,0
15035,-16,-22,-1020,0
15076,-15,-21,-1020,0
15117,-17,-22,-1020,0
15158,-15,-21,-1020,0
15199,-16,-21,-1020,0
15241,-17,-22,-1021,0
15282,-16,-22,-1020,0
15323,-16,-22,-1020,0
15364,-16,-22,-1020,0
15405,-15,-21,-1020,0
15446,-15,-22,-1021,0
15487,-15,-21,-1021,0
15528,-16,-22,-1020,0
15569,-16,-23,-1020,0
15610,-16,-22,-1019,0
